"","","","","","","","","","","","","","","","","","",""
"山东省即开仓库仓库出入库汇总表","","","","","","","","","","","","","","","","","",""
"A2.05","","","","","","","","","","","","","","","","","",""
"查询日期：","","2018-11-13~2018-11-13","","","","","","","","","","","","","打印时间：","","2018-11-14 06:13:32",""
"","","","","","","","","","","","","","","","","","",""
"面值","游戏编号","游戏名称","期初库存","","","","入库","","","","出库","","","","期末库存","","",""
"","","","奖组","箱","包数","金额","奖组","箱","包数","金额","奖组","箱","包数","金额","奖组","箱","包数","金额"
"5","0438","财运旺好运旺","0","0","2","1,200","0","0","0","0","0","0","0","0","0","0","2","1,200"
"5","0439","巧克力","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","0451","麻辣6","0","50","33","1,519,800","0","0","0","0","0","0","177","106,200","0","47","6","1,413,600"
"5","0453","旺旺","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","0462","体彩顶呱刮十周年庆","0","84","39","2,543,400","0","0","0","0","0","0","18","10,800","0","84","21","2,532,600"
"5","0468","巅峰对决","0","148","66","4,459,800","0","0","0","0","0","0","92","27,600","0","147","74","4,432,200"
"面值合计","","","0","1,007","500","28,202,500","0","0","0","0","0","2","657","385,100","0","996","393","27,817,400"
"10","0055","绿翡翠9S","0","0","1","600","0","0","0","0","0","0","0","0","0","0","1","600"
"10","0056","三重钻石","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0091","红宝石8S","0","0","1","600","0","0","0","0","0","0","0","0","0","0","1","600"
"10","0104","NBA","0","0","17","10,200","0","0","0","0","0","0","0","0","0","0","17","10,200"
"10","0117","魅力海阳 喜迎亚沙会","0","1","96","87,600","0","0","0","0","0","0","0","0","0","1","96","87,600"
"10","0226","强力金球","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0232","热力500","0","215","18","6,460,800","0","0","0","0","0","0","0","0","0","215","18","6,460,800"
"10","0235","剪子包袱锤","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0246","NBA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0250","八方来财","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0252","11选5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0260","开门8件事","0","505","43","15,175,800","0","0","0","0","0","0","8","4,800","0","505","35","15,171,000"
"10","0268","通吃","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0272","喜结良缘","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0292","绿翡翠9","0","0","4","2,400","0","0","0","0","0","0","0","0","0","0","4","2,400"
"10","0293","狂热中","0","0","106","31,800","0","0","0","0","0","0","0","0","0","0","106","31,800"
"10","0296","吉星高照","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0301","中国红","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0304","大漠寻宝","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0308","福禄寿喜","0","144","48","4,348,800","0","0","0","0","0","0","4","2,400","0","144","44","4,346,400"
"10","0312","十倍幸运","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0313","财富之门","0","90","12","2,707,200","0","0","0","0","0","0","8","4,800","0","90","4","2,702,400"
"10","0317","红玫瑰","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0326","赤壁","0","2","7","64,200","0","0","0","0","0","0","8","4,800","0","1","49","59,400"
"10","0328","乐在7中","0","304","27","9,136,200","0","0","0","0","0","0","49","29,400","0","303","28","9,106,800"
"10","0331","甜蜜物语","0","196","92","5,907,600","0","0","0","0","0","0","4","1,200","0","196","88","5,906,400"
"10","0333","9","0","0","1","600","0","0","0","0","0","0","0","0","0","0","1","600"
"10","0335","滚雪球","0","0","2","1,200","0","0","0","0","0","0","0","0","0","0","2","1,200"
"10","0339","金猴献宝","0","361","49","10,859,400","0","0","0","0","0","0","5","3,000","0","361","44","10,856,400"
"10","0340","十二生肖","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0341","抢红包","0","149","43","4,495,800","0","0","0","0","0","0","15","9,000","0","149","28","4,486,800"
"10","0351","财运到","0","0","7","4,200","0","0","0","0","0","0","0","0","0","0","7","4,200"
"10","0353","神灯","0","24","23","733,800","0","0","0","0","0","0","10","6,000","0","24","13","727,800"
"10","0355","一路平安","0","909","9","18,181,800","0","0","0","0","0","0","26","5,200","0","908","83","18,176,600"
"10","0359","豪门盛宴","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0366","7乐无穷","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0369","加油中国","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0373","我爱中国","0","86","24","2,594,400","0","0","0","0","0","0","3","1,800","0","86","21","2,592,600"
"10","0375","黄金之城","0","111","13","3,337,800","0","0","0","0","0","0","9","5,400","0","111","4","3,332,400"
