"销售网点分玩法销售统计","","","","","","","","","","","","",""
"JX201","","","","","","","","","","","","",""
"日期范围：","2018-11-13~2018-11-13","","","","","","","","打印时间：","","","2018-11-14 06:12:33",""
"","","","","","","","","","","","","",""
"市编码","市名称","县编码","县名称","网点编码","网点名称","游戏编码","游戏名称","激活包数","激活金额","确认包数","确认金额","兑奖张数","兑奖金额"
"3701","济南市","370102","历下区","3701001239","3701001239","0267","甜蜜蜜","0","0","0","0","2","10"
"3701","济南市","370102","历下区","3701001239","3701001239","0318","168","0","0","0","0","1","5"
"3701","济南市","370102","历下区","3701001239","3701001239","0385","卧虎藏龙","0","0","0","0","6","90"
"3701","济南市","370102","历下区","3701001239","3701001239","0418","招财猫","0","0","0","0","1","10"
"3701","济南市","370102","历下区","3701001239","3701001239","0423","太空寻宝","0","0","0","0","1","2"
"3701","济南市","370102","历下区","3701001239","3701001239","0426","花开富贵","0","0","0","0","1","20"
"3701","济南市","370102","历下区","3701001239","3701001239","0431","粉橙蓝","0","0","0","0","1","20"
"3701","济南市","370102","历下区","3701001239","3701001239","0434","八喜","0","0","0","0","42","150"
"3701","济南市","370102","历下区","3701001239","3701001239","0451","麻辣6","0","0","0","0","4","115"
"3701","济南市","370102","历下区","3701001239","3701001239","0481","节气歌","10","6,000","10","6,000","3","100"
"3701","济南市","370102","历下区","3701001256","3701001256","0432","强力5","0","0","0","0","1","100"
"3701","济南市","370102","历下区","3701001306","3701001306","0134","宝石之王","0","0","5","3,000","0","0"
"3701","济南市","370102","历下区","3701001326","3701001326","0482","锦绣","0","0","0","0","12","330"
"3701","济南市","370102","历下区","3701001348","3701001348","0481","节气歌","0","0","10","6,000","0","0"
"3701","济南市","370102","历下区","3701001357","3701001357","0481","节气歌","0","0","0","0","1","20"
"3701","济南市","370102","历下区","3701001376","3701001376","0407","发发发","0","0","0","0","1","20"
"3701","济南市","370102","历下区","3701001376","3701001376","0423","太空寻宝","0","0","0","0","1","2"
"3701","济南市","370102","历下区","3701001376","3701001376","0465","十倍幸运","0","0","0","0","2","30"
"3701","济南市","370102","历下区","3701001385","3701001385","0481","节气歌","51","30,600","50","30,000","564","22,530"
"3701","济南市","370102","历下区","3701001404","3701001404","0267","甜蜜蜜","0","0","0","0","6","45"
"3701","济南市","370102","历下区","3701001404","3701001404","0353","神灯","0","0","0","0","1","30"
"3701","济南市","370102","历下区","3701001404","3701001404","0355","一路平安","0","0","0","0","1","10"
"3701","济南市","370102","历下区","3701001404","3701001404","0418","招财猫","0","0","0","0","1","10"
"3701","济南市","370102","历下区","3701001404","3701001404","0432","强力5","3","1,800","0","0","0","0"
"3701","济南市","370102","历下区","3701001404","3701001404","0449","十二星座","0","0","0","0","1","10"
"3701","济南市","370102","历下区","3701001404","3701001404","0451","麻辣6","0","0","0","0","1","5"
"3701","济南市","370102","历下区","3701001404","3701001404","0456","红樱桃","0","0","0","0","2","8"
"3701","济南市","370102","历下区","3701001404","3701001404","0465","十倍幸运","2","1,200","0","0","0","0"
"3701","济南市","370102","历下区","3701001404","3701001404","0473","数字密码","0","0","0","0","1","10"
"3701","济南市","370102","历下区","3701001407","3701001407","0423","太空寻宝","0","0","0","0","5","21"
"3701","济南市","370102","历下区","3701001407","3701001407","0433","富贵有余","0","0","0","0","8","300"
"3701","济南市","370102","历下区","3701001407","3701001407","0456","红樱桃","1","600","0","0","18","143"
"3701","济南市","370102","历下区","3701001407","3701001407","0462","体彩顶呱刮十周年庆","0","0","0","0","1","10"
"3701","济南市","370102","历下区","3701001407","3701001407","0481","节气歌","4","2,400","0","0","5","390"
"3701","济南市","370102","历下区","3701001413","3701001413","0267","甜蜜蜜","2","1,200","2","1,200","0","0"
"3701","济南市","370102","历下区","3701001413","3701001413","0416","点石成金","0","0","0","0","4","80"
"3701","济南市","370102","历下区","3701001413","3701001413","0431","粉橙蓝","2","1,200","2","1,200","0","0"
"3701","济南市","370102","历下区","3701001413","3701001413","0451","麻辣6","1","600","1","600","1","5"
"3701","济南市","370102","历下区","3701001413","3701001413","0456","红樱桃","0","0","0","0","1","3"
"3701","济南市","370102","历下区","3701001420","3701001420","0267","甜蜜蜜","0","0","0","0","2","25"
"3701","济南市","370102","历下区","3701001420","3701001420","0292","绿翡翠9","0","0","0","0","1","10"
"3701","济南市","370102","历下区","3701001420","3701001420","0449","十二星座","0","0","0","0","1","10"
"3701","济南市","370102","历下区","3701001420","3701001420","0460","新时代 动起来","0","0","0","0","3","35"
"3701","济南市","370102","历下区","3701001420","3701001420","0481","节气歌","0","0","0","0","2","40"
"3701","济南市","370102","历下区","3701001431","3701001431","0267","甜蜜蜜","0","0","0","0","1","5"
"3701","济南市","370102","历下区","3701001431","3701001431","0397","好运123","0","0","0","0","2","20"
"3701","济南市","370102","历下区","3701001448","3701001448","0267","甜蜜蜜","1","600","0","0","7","100"
"3701","济南市","370102","历下区","3701001448","3701001448","0380","中国红","1","600","0","0","0","0"
"3701","济南市","370102","历下区","3701001448","3701001448","0429","天时地利人和","0","0","0","0","1","20"
"3701","济南市","370102","历下区","3701001448","3701001448","0446","天降财神","1","600","0","0","2","80"
"3701","济南市","370102","历下区","3701001448","3701001448","0469","巅峰对决","0","0","0","0","1","50"
"3701","济南市","370102","历下区","3701001448","3701001448","0481","节气歌","3","1,800","0","0","35","900"
"3701","济南市","370102","历下区","3701001454","3701001454","0481","节气歌","0","0","0","0","28","2,340"
"3701","济南市","370102","历下区","3701001454","3701001454","0482","锦绣","0","0","0","0","17","650"
"3701","济南市","370102","历下区","3701001458","3701001458","0098","红樱桃","0","0","0","0","27","175"
"3701","济南市","370102","历下区","3701001458","3701001458","0434","八喜","0","0","0","0","1","2"
"3701","济南市","370102","历下区","3701001462","3701001462","0434","八喜","0","0","0","0","1","2"
"3701","济南市","370102","历下区","3701001462","3701001462","0451","麻辣6","0","0","0","0","5","30"
"3701","济南市","370102","历下区","3701001462","3701001462","0469","巅峰对决","0","0","0","0","2","70"
"3701","济南市","370102","历下区","3701001462","3701001462","0481","节气歌","2","1,200","0","0","19","1,130"
"3701","济南市","370102","历下区","3701001465","3701001465","0461","糖葫芦","0","0","0","0","1","2"
"3701","济南市","370102","历下区","3701001513","3701001513","0416","点石成金","0","0","0","0","2","80"
"3701","济南市","370102","历下区","3701001537","3701001537","0098","红樱桃","0","0","0","0","1","25"
"3701","济南市","370102","历下区","3701001537","3701001537","0322","麻辣6","0","0","0","0","1","5"
"3701","济南市","370102","历下区","3701001537","3701001537","0422","富贵金锁","0","0","0","0","1","20"
"3701","济南市","370102","历下区","3701001537","3701001537","0423","太空寻宝","0","0","0","0","2","4"
"3701","济南市","370102","历下区","3701001537","3701001537","0471","全民健身日","0","0","0","0","1","10"
