"","","","","","","","","","","","","","","","","","",""
"浙江省即开仓库仓库出入库汇总表","","","","","","","","","","","","","","","","","",""
"A2.05","","","","","","","","","","","","","","","","","",""
"查询日期：","","2018-11-13~2018-11-13","","","","","","","","","","","","","打印时间：","","2018-11-14 06:20:17",""
"","","","","","","","","","","","","","","","","","",""
"面值","游戏编号","游戏名称","期初库存","","","","入库","","","","出库","","","","期末库存","","",""
"","","","奖组","箱","包数","金额","奖组","箱","包数","金额","奖组","箱","包数","金额","奖组","箱","包数","金额"
"5","0372","我爱中国","0","1","8","34,800","0","0","0","0","0","0","9","5,400","0","0","49","29,400"
"5","0379","中国红","0","73","52","2,221,200","0","0","0","0","0","0","50","30,000","0","72","52","2,191,200"
"5","0382","小红包","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","0398","开门大吉","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","0410","红色印迹","0","54","24","1,634,400","0","0","0","0","0","0","2","1,200","0","54","22","1,633,200"
"5","0431","粉橙蓝","0","23","45","717,000","0","0","0","0","0","0","9","5,400","0","23","36","711,600"
"5","0439","巧克力","0","112","81","3,408,600","0","0","0","0","0","0","10","6,000","0","112","71","3,402,600"
"5","0451","麻辣6","0","144","45","4,347,000","0","0","0","0","0","0","94","56,400","0","143","1","4,290,600"
"5","0453","旺旺","0","217","24","6,517,200","0","0","0","0","0","0","27","8,100","0","216","97","6,509,100"
"5","0459","新时代 动起来","0","115","83","3,474,900","0","0","0","0","0","0","5","1,500","0","115","78","3,473,400"
"5","0462","体彩顶呱刮十周年庆","0","450","101","13,560,600","0","0","0","0","0","0","15","9,000","0","450","86","13,551,600"
"5","0468","巅峰对决","0","26","93","807,900","0","0","0","0","0","0","29","8,700","0","26","64","799,200"
"5","0470","五禽戏","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","0474","动起来","0","88","47","2,668,200","0","0","0","0","0","0","9","5,400","0","88","38","2,662,800"
"面值合计","","","0","1,934","1,310","58,704,600","0","0","0","0","0","0","377","196,200","0","1,929","1,233","58,508,400"
"10","0055","绿翡翠9S","0","0","10","6,000","0","0","0","0","0","0","0","0","0","0","10","6,000"
"10","0056","三重钻石","0","322","13","9,667,800","0","0","0","0","0","0","35","21,000","0","321","28","9,646,800"
"10","0091","红宝石8S","0","121","73","3,673,800","0","0","0","0","0","0","31","18,600","0","120","92","3,655,200"
"10","0144","满载而归","0","0","3","1,800","0","0","0","0","0","0","0","0","0","0","3","1,800"
"10","0184","东海明珠","0","34","105","1,051,500","0","0","0","0","0","0","0","0","0","34","105","1,051,500"
"10","0211","甜蜜蜜","0","0","36","21,600","0","0","0","0","0","0","0","0","0","0","36","21,600"
"10","0232","热力500","0","118","10","3,546,000","0","0","0","0","0","0","0","0","0","118","10","3,546,000"
"10","0246","NBA","0","522","69","15,701,400","0","0","0","0","0","0","0","0","0","522","69","15,701,400"
"10","0250","八方来财","0","19","3","571,800","0","0","0","0","0","0","23","13,800","0","18","30","558,000"
"10","0268","通吃","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
