"","","","","","","","","","","","","","","","","","",""
"山东省即开仓库仓库出入库汇总表","","","","","","","","","","","","","","","","","",""
"A2.05","","","","","","","","","","","","","","","","","",""
"查询日期：","","2018-04-21~2018-04-21","","","","","","","","","","","","","打印时间：","","2018-04-21 12:58:29",""
"","","","","","","","","","","","","","","","","","",""
"面值","游戏编号","游戏名称","期初库存","","","","入库","","","","出库","","","","期末库存","","",""
"","","","奖组","箱","包数","金额","奖组","箱","包数","金额","奖组","箱","包数","金额","奖组","箱","包数","金额"
"5","0462","体彩顶呱刮十周年庆","0","247","71","7,452,600","0","0","0","0","0","0","0","0","0","247","71","7,452,600"
"面值合计","","","0","1,684","912","47,749,800","0","0","0","0","0","0","0","0","0","1,680","1,162","47,749,800"
"10","0055","绿翡翠9S","0","0","1","600","0","0","0","0","0","0","0","0","0","0","1","600"
"10","0056","三重钻石","0","1","1","30,600","0","0","0","0","0","0","0","0","0","1","1","30,600"
"10","0091","红宝石8S","0","2","1","60,600","0","0","0","0","0","0","0","0","0","2","1","60,600"
"10","0104","NBA","0","0","17","10,200","0","0","0","0","0","0","0","0","0","0","17","10,200"
"10","0117","魅力海阳 喜迎亚沙会","0","1","96","87,600","0","0","0","0","0","0","0","0","0","1","96","87,600"
"10","0226","强力金球","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0232","热力500","0","215","31","6,468,600","0","0","0","0","0","0","0","0","0","215","31","6,468,600"
"10","0235","剪子包袱锤","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0246","NBA","0","1","0","30,000","0","0","0","0","0","0","0","0","0","1","0","30,000"
"10","0250","八方来财","0","0","2","1,200","0","0","0","0","0","0","0","0","0","0","2","1,200"
"10","0252","11选5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0260","开门8件事","0","543","40","16,314,000","0","0","0","0","0","0","0","0","0","543","40","16,314,000"
"10","0268","通吃","0","33","24","1,004,400","0","0","0","0","0","0","0","0","0","32","74","1,004,400"
"10","0272","喜结良缘","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0292","绿翡翠9","0","103","88","3,142,800","0","0","0","0","0","0","0","0","0","103","88","3,142,800"
"10","0296","吉星高照","0","0","4","2,400","0","0","0","0","0","0","0","0","0","0","4","2,400"
"10","0301","中国红","0","0","1","600","0","0","0","0","0","0","0","0","0","0","1","600"
"10","0304","大漠寻宝","0","0","41","24,600","0","0","0","0","0","0","0","0","0","0","41","24,600"
"10","0308","福禄寿喜","0","162","37","4,882,200","0","0","0","0","0","0","0","0","0","162","37","4,882,200"
"10","0312","十倍幸运","0","117","35","3,531,000","0","0","0","0","0","0","0","0","0","115","135","3,531,000"
"10","0313","财富之门","0","118","9","3,545,400","0","0","0","0","0","0","0","0","0","118","9","3,545,400"
"10","0317","红玫瑰","0","0","26","15,600","0","0","0","0","0","0","0","0","0","0","26","15,600"
"10","0326","赤壁","0","34","41","1,044,600","0","0","0","0","0","0","0","0","0","34","41","1,044,600"
"10","0328","乐在7中","0","493","38","14,812,800","0","0","0","0","0","0","0","0","0","493","38","14,812,800"
"10","0331","甜蜜物语","0","214","77","6,443,100","0","0","0","0","0","0","0","0","0","214","77","6,443,100"
"10","0333","9","0","7","71","252,600","0","0","0","0","0","0","0","0","0","7","71","252,600"
"10","0335","滚雪球","0","49","36","1,491,600","0","0","0","0","0","0","0","0","0","49","36","1,491,600"
"10","0339","金猴献宝","0","382","6","11,463,600","0","0","0","0","0","0","0","0","0","382","6","11,463,600"
"10","0340","十二生肖","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
