"","","","","","","","","","","","","","","","","","",""
"江苏省即开仓库仓库出入库汇总表","","","","","","","","","","","","","","","","","",""
"A2.05","","","","","","","","","","","","","","","","","",""
"查询日期：","","2018-11-13~2018-11-13","","","","","","","","","","","","","打印时间：","","2018-11-14 06:54:27",""
"","","","","","","","","","","","","","","","","","",""
"面值","游戏编号","游戏名称","期初库存","","","","入库","","","","出库","","","","期末库存","","",""
"","","","奖组","箱","包数","金额","奖组","箱","包数","金额","奖组","箱","包数","金额","奖组","箱","包数","金额"
"5","0322","麻辣6","0","45","0","1,350,000","0","0","0","0","0","0","0","0","0","45","0","1,350,000"
"5","0325","KONGFU","0","63","0","1,890,000","0","0","0","0","0","0","0","0","0","63","0","1,890,000"
"5","0330","绿宝石","0","66","0","1,980,000","0","0","0","0","0","0","0","0","0","66","0","1,980,000"
"5","0334","好开心","0","75","0","2,250,000","0","0","0","0","0","0","0","0","0","75","0","2,250,000"
"5","0337","幸福时光","0","78","0","1,560,000","0","0","0","0","0","0","0","0","0","78","0","1,560,000"
"5","0344","小红包","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","0349","恭喜发财","0","67","0","2,010,000","0","0","0","0","0","0","0","0","0","67","0","2,010,000"
"5","0352","挖财宝","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","0357","中国红","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","0362","发财树","0","21","0","630,000","0","0","0","0","0","0","0","0","0","21","0","630,000"
"5","0368","吃西瓜","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","0372","我爱中国","0","62","0","1,860,000","0","0","0","0","0","0","0","0","0","62","0","1,860,000"
"5","0378","大吉大利","0","16","0","480,000","0","0","0","0","0","0","0","0","0","16","0","480,000"
"5","0385","卧虎藏龙","0","60","0","1,800,000","0","0","0","0","0","0","0","0","0","60","0","1,800,000"
"5","0397","好运123","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","0398","开门大吉","0","15","0","450,000","0","0","0","0","0","0","0","0","0","15","0","450,000"
"5","0399","中国结","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","0431","粉橙蓝","0","60","0","1,800,000","0","0","0","0","0","0","0","0","0","60","0","1,800,000"
"5","0436","剪子包袱锤","0","34","0","1,020,000","0","0","0","0","0","0","0","0","0","34","0","1,020,000"
"5","0438","财运旺好运旺","0","29","0","870,000","0","0","0","0","0","0","0","0","0","29","0","870,000"
"5","0439","巧克力","0","38","0","1,140,000","0","0","0","0","0","0","0","0","0","38","0","1,140,000"
"5","0447","步步登高","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","0450","梅兰竹菊","0","55","0","1,650,000","0","0","0","0","0","0","0","0","0","55","0","1,650,000"
"5","0453","旺旺","0","4","0","120,000","0","0","0","0","0","0","0","0","0","4","0","120,000"
"5","0462","体彩顶呱刮十周年庆","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","0468","巅峰对决","0","6","0","180,000","0","0","0","0","0","0","0","0","0","6","0","180,000"
"5","0470","五禽戏","0","60","0","900,000","0","0","0","0","0","0","0","0","0","60","0","900,000"
"5","0474","动起来","0","37","0","1,110,000","0","0","0","0","0","0","0","0","0","37","0","1,110,000"
"面值合计","","","0","1,849","8,395","48,939,150","0","0","0","0","0","0","0","0","0","1,849","8,395","48,939,150"
"10","0044","十倍幸运","0","6","198","298,800","0","0","0","0","0","0","0","0","0","6","198","298,800"
"10","0055","绿翡翠9S","0","54","697","2,038,200","0","0","0","0","0","0","0","0","0","54","697","2,038,200"
"10","0056","三重钻石","0","24","202","841,200","0","0","0","0","0","0","0","0","0","24","202","841,200"
"10","0060","3D 魔方游戏","0","0","1","600","0","0","0","0","0","0","0","0","0","0","1","600"
"10","0090","黑珍珠","0","0","3","1,800","0","0","0","0","0","0","0","0","0","0","3","1,800"
"10","0091","红宝石8S","0","0","89","53,400","0","0","0","0","0","0","0","0","0","0","89","53,400"
"10","0096","玉兔送财","0","0","1","600","0","0","0","0","0","0","0","0","0","0","1","600"
"10","0100","幸运小精灵","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0103","金色的祝福","0","125","836","4,251,600","0","0","0","0","0","0","0","0","0","125","836","4,251,600"
"10","0104","NBA","0","329","703","10,291,800","0","0","0","0","0","0","0","0","0","329","703","10,291,800"
"10","0111","好运马上来","0","476","539","14,603,400","0","0","0","0","0","0","0","0","0","476","539","14,603,400"
"10","0117","魅力海阳 喜迎亚沙会","0","8","156","333,600","0","0","0","0","0","0","0","0","0","8","156","333,600"
"10","0120","秀甲天下","0","12","196","477,600","0","0","0","0","0","0","0","0","0","12","196","477,600"
"10","0129","股神","0","0","804","482,400","0","0","0","0","0","0","0","0","0","0","804","482,400"
"10","0133","好运8","0","0","307","184,200","0","0","0","0","0","0","0","0","0","0","307","184,200"
"10","0141","好运翻六番","0","1","825","525,000","0","0","0","0","0","0","0","0","0","1","825","525,000"
"10","0144","满载而归","0","0","273","163,800","0","0","0","0","0","0","0","0","0","0","273","163,800"
"10","0145","团龙献瑞","0","237","701","7,530,600","0","0","0","0","0","0","0","0","0","237","701","7,530,600"
"10","0150","金镶玉","0","4","600","480,000","0","0","0","0","0","0","0","0","0","4","600","480,000"
"10","0153","情比金坚","0","0","285","171,000","0","0","0","0","0","0","0","0","0","0","285","171,000"
"10","0154","聚宝盆","0","0","304","182,400","0","0","0","0","0","0","0","0","0","0","304","182,400"
"10","0162","总冠军","0","1,239","1,487","38,062,200","0","0","0","0","0","0","0","0","0","1,239","1,487","38,062,200"
"10","0176","可爱小樱桃","0","0","116","69,600","0","0","0","0","0","0","0","0","0","0","116","69,600"
"10","0177","金石奇缘","0","0","514","308,400","0","0","0","0","0","0","0","0","0","0","514","308,400"
"10","0180","中国奥运军团","0","294","1,187","9,532,200","0","0","0","0","0","0","0","0","0","294","1,187","9,532,200"
"10","0186","浪漫水晶球","0","0","569","341,400","0","0","0","0","0","0","0","0","0","0","569","341,400"
"10","0188","至尊钻石7","0","4","408","364,800","0","0","0","0","0","0","0","0","0","4","408","364,800"
"10","0198","金蛇添财","0","77","1,186","3,021,600","0","0","0","0","0","0","0","0","0","77","1,186","3,021,600"
"10","0201","砸金蛋","0","3","402","331,200","0","0","0","0","0","0","0","0","0","3","402","331,200"
"10","0202","魔法师","0","317","448","9,778,800","0","0","0","0","0","0","0","0","0","317","448","9,778,800"
"10","0204","过大年Ⅱ","0","6","814","424,200","0","0","0","0","0","0","0","0","0","6","814","424,200"
"10","0211","甜蜜蜜","0","0","79","47,400","0","0","0","0","0","0","0","0","0","0","79","47,400"
"10","0214","打黑8","0","0","555","333,000","0","0","0","0","0","0","0","0","0","0","555","333,000"
"10","0216","掼蛋","0","115","350","3,660,000","0","0","0","0","0","0","0","0","0","115","350","3,660,000"
"10","0217","钻石王朝","0","305","421","9,402,600","0","0","0","0","0","0","0","0","0","305","421","9,402,600"
"10","0226","强力金球","0","4","402","361,200","0","0","0","0","0","0","0","0","0","4","402","361,200"
"10","0229","金满堂","0","6","69","221,400","0","0","0","0","0","0","0","0","0","6","69","221,400"
"10","0230","顶呱刮","0","0","66","39,600","0","0","0","0","0","0","0","0","0","0","66","39,600"
"10","0246","NBA","0","70","220","2,232,000","0","0","0","0","0","0","0","0","0","70","220","2,232,000"
"10","0250","八方来财","0","35","0","1,050,000","0","0","0","0","0","0","0","0","0","35","0","1,050,000"
"10","0268","通吃","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0292","绿翡翠9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0301","中国红","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0304","大漠寻宝","0","26","0","780,000","0","0","0","0","0","0","0","0","0","26","0","780,000"
"10","0312","十倍幸运","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0313","财富之门","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0317","红玫瑰","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0326","赤壁","0","42","0","1,260,000","0","0","0","0","0","0","0","0","0","42","0","1,260,000"
"10","0331","甜蜜物语","0","69","0","2,070,000","0","0","0","0","0","0","0","0","0","69","0","2,070,000"
"10","0333","9","0","22","0","660,000","0","0","0","0","0","0","0","0","0","22","0","660,000"
"10","0335","滚雪球","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0341","抢红包","0","19","0","570,000","0","0","0","0","0","0","0","0","0","19","0","570,000"
"10","0351","财运到","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0353","神灯","0","74","0","2,220,000","0","0","0","0","0","0","0","0","0","74","0","2,220,000"
"10","0355","一路平安","0","20","0","400,000","0","0","0","0","0","0","0","0","0","20","0","400,000"
"10","0358","豪门盛宴","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0366","7乐无穷","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0369","加油中国","0","12","0","360,000","0","0","0","0","0","0","0","0","0","12","0","360,000"
"10","0373","我爱中国","0","51","0","1,530,000","0","0","0","0","0","0","0","0","0","51","0","1,530,000"
"10","0375","黄金之城","0","62","0","1,860,000","0","0","0","0","0","0","0","0","0","62","0","1,860,000"
"10","0386","卧虎藏龙","0","30","0","900,000","0","0","0","0","0","0","0","0","0","30","0","900,000"
"10","0391","10来运转","0","24","0","720,000","0","0","0","0","0","0","0","0","0","24","0","720,000"
"10","0401","芝麻开门","0","50","0","1,500,000","0","0","0","0","0","0","0","0","0","50","0","1,500,000"
"10","0406","金鸡纳福","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0418","招财猫","0","60","0","1,800,000","0","0","0","0","0","0","0","0","0","60","0","1,800,000"
"10","0432","强力5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0441","和气生财","0","100","0","3,000,000","0","0","0","0","0","0","0","0","0","100","0","3,000,000"
"10","0442","天下名钻","0","49","0","1,470,000","0","0","0","0","0","0","0","0","0","49","0","1,470,000"
"10","0449","十二星座","0","180","0","5,400,000","0","0","0","0","0","0","0","0","0","180","0","5,400,000"
"10","0454","旺旺","0","3","0","90,000","0","0","0","0","0","0","0","0","0","3","0","90,000"
"10","0457","十二生肖","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0463","体彩顶呱刮十周年庆","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0465","十倍幸运","0","100","0","3,000,000","0","0","0","0","0","0","0","0","0","100","0","3,000,000"
"10","0471","全民健身日","0","112","0","3,360,000","0","0","0","0","0","0","0","0","0","112","0","3,360,000"
"10","0473","数字密码","0","172","0","5,160,000","0","0","0","0","0","0","0","0","0","172","0","5,160,000"
"10","0475","动起来","0","83","0","2,490,000","0","0","0","0","0","0","0","0","0","83","0","2,490,000"
"10","0478","爱跑","0","81","0","2,430,000","0","0","0","0","0","0","0","0","0","81","0","2,430,000"
"10","0480","五星报喜","0","52","0","1,560,000","0","0","0","0","0","0","0","0","0","52","0","1,560,000"
"面值合计","","","0","5,244","17,013","167,083,600","0","0","0","0","0","0","0","0","0","5,244","17,013","167,083,600"
"20","0028","点石成金","0","16","213","607,800","0","0","0","0","0","0","0","0","0","16","213","607,800"
"20","0066","超值现金","0","0","646","387,600","0","0","0","0","0","0","0","0","0","0","646","387,600"
"20","0085","大满贯","0","0","13","7,800","0","0","0","0","0","0","0","0","0","0","13","7,800"
"20","0101","金银生辉","0","0","8","4,800","0","0","0","0","0","0","0","0","0","0","8","4,800"
"20","0110","闪耀宝石9","0","4","508","424,800","0","0","0","0","0","0","0","0","0","4","508","424,800"
"20","0126","20倍幸运","0","7","191","324,600","0","0","0","0","0","0","0","0","0","7","191","324,600"
"20","0132","超级赢家","0","4,880","4,057","148,834,200","0","0","0","0","0","0","0","0","0","4,880","4,057","148,834,200"
"20","0147","点石成金","0","2","186","171,600","0","0","0","0","0","0","0","0","0","2","186","171,600"
"20","0156","NBA","0","4,319","1,015","130,179,000","0","0","0","0","0","0","0","0","0","4,319","1,015","130,179,000"
"20","0158","淘金乐","0","2","204","182,400","0","0","0","0","0","0","0","0","0","2","204","182,400"
"20","0167","幸运星","0","527","1,173","16,513,800","0","0","0","0","0","0","0","0","0","527","1,173","16,513,800"
"20","0174","大富豪","0","5","414","398,400","0","0","0","0","0","0","0","0","0","5","414","398,400"
"20","0205","过大年Ⅲ","0","634","1,151","19,710,600","0","0","0","0","0","0","0","0","0","634","1,151","19,710,600"
"20","0215","黑旋风","0","0","135","81,000","0","0","0","0","0","0","0","0","0","0","135","81,000"
"20","0237","大乐透","0","790","325","23,895,000","0","0","0","0","0","0","0","0","0","790","325","23,895,000"
"20","0242","甜蜜蜜","0","373","321","11,382,600","0","0","0","0","0","0","0","0","0","373","321","11,382,600"
"20","0247","NBA","0","235","463","7,327,800","0","0","0","0","0","0","0","0","0","235","463","7,327,800"
"20","0259","宝罐","0","93","0","2,790,000","0","0","0","0","0","0","0","0","0","93","0","2,790,000"
"20","0270","真金白银","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","0275","财富金字塔","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","0283","欢乐扑克","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","0288","四季来财","0","85","0","2,550,000","0","0","0","0","0","0","0","0","0","85","0","2,550,000"
"20","0300","中国红","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","0321","招财进宝","0","12","0","360,000","0","0","0","0","0","0","0","0","0","12","0","360,000"
"20","0327","富贵8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","0329","夺宝","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","0343","大红包","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","0348","皇家金典","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","0363","富贵竹","0","62","0","1,860,000","0","0","0","0","0","0","0","0","0","62","0","1,860,000"
"20","0374","超值8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","0387","卧虎藏龙","0","69","0","2,070,000","0","0","0","0","0","0","0","0","0","69","0","2,070,000"
"20","0407","发发发","0","57","0","1,710,000","0","0","0","0","0","0","0","0","0","57","0","1,710,000"
"20","0408","7","0","22","0","660,000","0","0","0","0","0","0","0","0","0","22","0","660,000"
"20","0409","日进斗金","0","163","0","4,890,000","0","0","0","0","0","0","0","0","0","163","0","4,890,000"
"20","0416","点石成金","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","0444","西游记","0","139","0","4,170,000","0","0","0","0","0","0","0","0","0","139","0","4,170,000"
"20","0445","20倍现金","0","122","0","3,660,000","0","0","0","0","0","0","0","0","0","122","0","3,660,000"
"20","0464","体彩顶呱刮十周年庆","0","197","0","5,910,000","0","0","0","0","0","0","0","0","0","197","0","5,910,000"
"20","0482","锦绣","0","728","0","21,840,000","0","0","0","0","0","0","0","0","0","728","0","21,840,000"
"面值合计","","","0","13,543","11,023","412,903,800","0","0","0","0","0","0","0","0","0","13,543","11,023","412,903,800"
"30","0134","宝石之王","0","3","883","709,800","0","0","0","0","0","0","0","0","0","3","883","709,800"
"30","0171","点石成金II","0","3","2,311","1,566,600","0","0","0","0","0","0","0","0","0","3","2,311","1,566,600"
"30","0175","好彩头","0","0","1,058","634,800","0","0","0","0","0","0","0","0","0","0","1,058","634,800"
"30","0243","富贵多多","0","0","84","50,400","0","0","0","0","0","0","0","0","0","0","84","50,400"
"30","0287","好彩头","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30","0319","黄金世界","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30","0338","至尊宝","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30","0354","大吉大利","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30","0433","富贵有余","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30","0446","天降财神","0","36","0","2,160,000","0","0","0","0","0","0","0","0","0","36","0","2,160,000"
"面值合计","","","0","42","4,336","5,121,600","0","0","0","0","0","0","0","0","0","42","4,336","5,121,600"
"50","0469","巅峰对决","0","239","0","17,925,000","0","0","0","0","0","0","0","0","0","239","0","17,925,000"
"面值合计","","","0","239","0","17,925,000","0","0","0","0","0","0","0","0","0","239","0","17,925,000"
"总计","","","0","21,040","43,156","656,904,550","0","0","0","0","0","0","0","0","0","21,040","43,156","656,904,550"
